601	3685
30	1929
30	807
185	2980
216	3134
178	3193
30	852
30	1143
216	3206
618	3755
525	3501
30	2316
200	3097
30	1656
30	2296
625	3783
30	927
196	3205
30	2158
30	949
30	848
973	3975
183	2963
30	1498
30	796
139	3384
30	1014
535	3493
30	1554
30	898
295	3379
30	1877
30	1109
915	3933
30	1826
44	2489
30	777
30	2302
182	3038
30	1047
30	1031
608	3699
216	3188
898	3926
30	2216
770	3839
831	3894
689	3684
692	3727
30	2220
30	2248
385	3411
30	1980
61	2613
175	2891
30	779
30	1556
30	1899
178	3192
30	1104
30	817
30	1997
786	3851
630	3589
30	2132
30	1304
161	2879
30	1875
30	1019
30	2196
30	1033
522	3486
30	3247
30	2392
30	1400
176	3177
30	2005
30	827
915	3957
30	3416
30	1863
30	1258
657	3967
30	1810
30	1152
30	1226
30	2017
30	2449
648	3616
30	1500
30	1232
30	1712
30	1901
30	1673
30	2224
30	1276
233	3469
178	3001
532	3498
175	3060
30	1358
30	976
30	1522
30	897
30	3289
30	2256
30	1691
30	1524
667	3637
30	1935
158	2880
30	3297
30	2138
178	2941
982	3981
269	3355
8	3123
30	1840
30	1023
30	1140
201	3129
30	3005
30	1758
30	1428
30	741
155	3266
947	3958
30	2212
31	2592
798	3855
522	3488
30	3337
181	2946
183	3007
30	3258
30	965
30	1064
30	868
175	3056
30	1681
30	919
30	1985
30	1246
30	1386
82	2714
30	1739
50	2751
616	3756
30	1107
30	2413
30	1644
620	3653
682	3677
30	1959
30	2368
30	2451
30	2172
564	3534
30	1889
30	2380
30	1626
183	2903
197	3018
30	1062
30	1135
139	2847
250	3519
139	2848
30	1448
30	2126
30	1622
30	1157
30	2180
615	3745
30	1078
30	1330
694	3734
30	2417
30	2113
30	1236
175	3176
560	3529
30	1657
201	3181
267	3355
71	3495
30	931
30	2007
31	2741
353	3407
139	3367
30	1007
184	2935
30	1184
30	1186
58	2552
200	3025
198	3145
178	2896
30	994
30	1011
50	2518
30	966
7	2520
59	2597
178	2927
30	1001
178	2939
30	759
30	1552
639	3603
30	1735
30	2318
30	1148
89	3229
30	820
30	1536
30	1378
30	775
30	2202
30	1506
30	1110
30	2470
30	1881
127	2797
81	2639
8	2951
30	1651
30	795
30	2200
30	2011
528	3515
30	2453
30	2294
30	1631
30	1422
30	1338
30	3333
30	1953
30	1470
30	991
30	1480
30	1568
30	2364
179	2957
30	799
30	1697
30	2456
57	2606
30	1067
250	3506
30	1103
30	2419
165	3690
30	1096
725	3906
30	717
30	950
299	3833
30	959
30	3422
418	3431
725	3862
30	2194
30	1430
30	1402
179	2998
30	985
30	1947
30	1230
30	744
30	2051
30	2057
30	2188
175	3160
30	2189
30	1224
199	3147
30	2405
328	3435
30	939
30	967
30	821
30	3691
338	3405
320	3715
207	3150
175	2986
30	1677
78	2650
30	1969
613	3588
30	870
31	3548
30	3271
30	3255
30	1604
30	1013
63	2596
30	1596
183	2966
220	3106
185	3076
679	3673
30	1354
30	1514
303	3380
116	2792
179	2895
122	2791
182	3045
714	3748
30	2099
30	1025
175	3121
30	2736
160	2909
133	2843
30	964
554	3527
30	1216
30	721
216	3132
175	3059
30	1814
205	3163
30	1446
